place_id,lat,lng,Text,clean_text,tokenized_text,emotion
ChIJiwVttYym2EcRUdFHMteOfCo,51.56352370000001,0.0707613,Nice budget hotel....room is clean and well maintained...good cleaning services...well mannered staff. They charge a deposit money which they said would refund. Some improvement can be to provide at least bit better breakfast than cornflakes only.,nice budget hotelroom clean well maintainedgood cleaning serviceswell mannered staff charge deposit money said would refund improvement provide least bit better breakfast cornflakes,"['nice', 'budget', 'hotelroom', 'clean', 'well', 'maintainedgood', 'cleaning', 'serviceswell', 'mannered', 'staff', 'charge', 'deposit', 'money', 'said', 'would', 'refund', 'improvement', 'provide', 'least', 'bit', 'better', 'breakfast', 'cornflakes']",anger
ChIJiwVttYym2EcRUdFHMteOfCo,51.56352370000001,0.0707613,"This hotel is well managed with great staff on the 24 hour reception. It is clean, tidy, good value and has everything you need. I would recommend it to friends and family needing basic but excellent hotel accommodation.",hotel well managed great staff hour reception clean tidy good value everything need would recommend friend family needing basic excellent hotel accommodation,"['hotel', 'well', 'managed', 'great', 'staff', 'hour', 'reception', 'clean', 'tidy', 'good', 'value', 'everything', 'need', 'would', 'recommend', 'friend', 'family', 'needing', 'basic', 'excellent', 'hotel', 'accommodation']",joy
ChIJiwVttYym2EcRUdFHMteOfCo,51.56352370000001,0.0707613,"10 our of 10 lovely service, clean and homely. With lovely residents and neighbours. The Hotel is very spacious with a television which has many channels to watch with a kettle to boil water to make coffee or tea. A radiator which can be electrically tuned. Very nice and I'am enjoying my stay. Absolutely wonderful without a doubt. God bless you Cranbrook Hotel. Thank you very much.",lovely service clean homely lovely resident neighbour hotel spacious television many channel watch kettle boil water make coffee tea radiator electrically tuned nice iam enjoying stay absolutely wonderful without doubt god bless cranbrook hotel thank much,"['lovely', 'service', 'clean', 'homely', 'lovely', 'resident', 'neighbour', 'hotel', 'spacious', 'television', 'many', 'channel', 'watch', 'kettle', 'boil', 'water', 'make', 'coffee', 'tea', 'radiator', 'electrically', 'tuned', 'nice', 'iam', 'enjoying', 'stay', 'absolutely', 'wonderful', 'without', 'doubt', 'god', 'bless', 'cranbrook', 'hotel', 'thank', 'much']",joy
ChIJiwVttYym2EcRUdFHMteOfCo,51.56352370000001,0.0707613,"Very Dirty, carpet never been cleaned, Curry stains all on carpet and desk. Sofa was dirty and dusty, Room smelly like BO and curry. Room dusty, most furniture broken and very worn out. Some of their rooms people live in full time so it's like half hotel half bedsit. They offered breakfast but limited due to Covid but when I went to reception they said we can bring corn flakes to your room. Not acceptable. If I could give no stars I would. Do not stay here unless you care for your health and well being. They take £50 and hold it for security deposit and freeze it for 14 days.  Not worth it at all. Disgusting.",dirty carpet never cleaned curry stain carpet desk sofa dirty dusty room smelly like bo curry room dusty furniture broken worn room people live full time like half hotel half bedsit offered breakfast limited due covid went reception said bring corn flake room acceptable could give star would stay unless care health well take £ hold security deposit freeze day worth disgusting,"['dirty', 'carpet', 'never', 'cleaned', 'curry', 'stain', 'carpet', 'desk', 'sofa', 'dirty', 'dusty', 'room', 'smelly', 'like', 'bo', 'curry', 'room', 'dusty', 'furniture', 'broken', 'worn', 'room', 'people', 'live', 'full', 'time', 'like', 'half', 'hotel', 'half', 'bedsit', 'offered', 'breakfast', 'limited', 'due', 'covid', 'went', 'reception', 'said', 'bring', 'corn', 'flake', 'room', 'acceptable', 'could', 'give', 'star', 'would', 'stay', 'unless', 'care', 'health', 'well', 'take', 'hold', 'security', 'deposit', 'freeze', 'day', 'worth', 'disgusting']",anger
ChIJiwVttYym2EcRUdFHMteOfCo,51.56352370000001,0.0707613,"Even 1 star is too much for this terrible hotel!!! Rooms are dirty and not clean the guy ay at reception clearly has no customer care experience, will not reccomend this rubbish hotel to no1 most disgusting hotel i ever experienced in my life!!! Deserves 0 stars!",even star much terrible hotel room dirty clean guy ay reception clearly customer care experience reccomend rubbish hotel disgusting hotel ever experienced life deserves star,"['even', 'star', 'much', 'terrible', 'hotel', 'room', 'dirty', 'clean', 'guy', 'ay', 'reception', 'clearly', 'customer', 'care', 'experience', 'reccomend', 'rubbish', 'hotel', 'disgusting', 'hotel', 'ever', 'experienced', 'life', 'deserves', 'star']",anger
ChIJM6qXlrWk2EcRKcE2DZNpaXE,51.5775533,0.18676070000000006,"I meet with friends this nice place quite often! This is the best place to have a bite.  I go there frequently. The meals are fantastic, the crew is helpful and the price is good. I enjoy being in this restaurant to have a good meal.",meet friend nice place quite often best place bite go frequently meal fantastic crew helpful price good enjoy restaurant good meal,"['meet', 'friend', 'nice', 'place', 'quite', 'often', 'best', 'place', 'bite', 'go', 'frequently', 'meal', 'fantastic', 'crew', 'helpful', 'price', 'good', 'enjoy', 'restaurant', 'good', 'meal']",joy
ChIJM6qXlrWk2EcRKcE2DZNpaXE,51.5775533,0.18676070000000006,"Lovely place, lovely staff member who waited on us, who helped to make a pleasurable evening, well done. The food was delicious and served to us very quickly.",lovely place lovely staff member waited u helped make pleasurable evening well done food delicious served u quickly,"['lovely', 'place', 'lovely', 'staff', 'member', 'waited', 'helped', 'make', 'pleasurable', 'evening', 'well', 'done', 'food', 'delicious', 'served', 'quickly']",joy
ChIJM6qXlrWk2EcRKcE2DZNpaXE,51.5775533,0.18676070000000006,I went for 2 nights amazing staff super friendly I told them I was autistic and staying on my own and they put my room close to reception to make me feel comfortable (I wont be lost) nicest thing...the  room was very nice and breakfast was delicious.  I would stay again 👏,went night amazing staff super friendly told autistic staying put room close reception make feel comfortable wont lost nicest thingthe room nice breakfast delicious would stay 👏,"['went', 'night', 'amazing', 'staff', 'super', 'friendly', 'told', 'autistic', 'staying', 'put', 'room', 'close', 'reception', 'make', 'feel', 'comfortable', 'wont', 'lost', 'nicest', 'thingthe', 'room', 'nice', 'breakfast', 'delicious', 'would', 'stay']",joy
ChIJM6qXlrWk2EcRKcE2DZNpaXE,51.5775533,0.18676070000000006,"Nothing to complain about, friendly staff, too bad the restaurant was closed due to lockdown. Rooms were clean.",nothing complain friendly staff bad restaurant closed due lockdown room clean,"['nothing', 'complain', 'friendly', 'staff', 'bad', 'restaurant', 'closed', 'due', 'lockdown', 'room', 'clean']",anger
ChIJM6qXlrWk2EcRKcE2DZNpaXE,51.5775533,0.18676070000000006,"Good Premier Inn, located within 5 min walk to shopping centre, restaurants and cinema",good premier inn located within min walk shopping centre restaurant cinema,"['good', 'premier', 'inn', 'located', 'within', 'min', 'walk', 'shopping', 'centre', 'restaurant', 'cinema']",joy
